"workflow_slug","step_order","step_key","step_name_ar","step_type","input_source","output_key","is_required"
"workflow-cpa-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-cpa-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-profit-margin-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-profit-margin-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-profit-margin-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-cpm-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-cpm-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-cpm-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-ctr-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-ctr-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-ctr-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-discount-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-discount-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-discount-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-cpc-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-cpc-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-cpc-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-roas-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-roas-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-roas-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-salary-increase-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-salary-increase-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-salary-increase-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-break-even-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-break-even-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-break-even-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-tip-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-tip-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-tip-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-compound-interest-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-compound-interest-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-compound-interest-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-simple-interest-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-simple-interest-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-simple-interest-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-unit-price-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-unit-price-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-unit-price-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-aov-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-aov-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-aov-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-commission-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-commission-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-commission-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-roi-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-roi-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-roi-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-weighted-score-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-weighted-score-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-weighted-score-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-pre-tax-price-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-pre-tax-price-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-pre-tax-price-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-markup-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-markup-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-markup-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-vat-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-vat-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-vat-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-average-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-average-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-average-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-line-sorter-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-line-sorter-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-line-sorter-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-reverse-text-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-reverse-text-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-reverse-text-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-text-case-converter-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-text-case-converter-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-text-case-converter-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-normalize-arabic-text-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-normalize-arabic-text-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-normalize-arabic-text-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-remove-diacritics-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-remove-diacritics-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-remove-diacritics-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-fancy-separator-generator-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-fancy-separator-generator-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-fancy-separator-generator-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-quote-wrapper-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-quote-wrapper-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-quote-wrapper-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-line-prefix-adder-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-line-prefix-adder-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-line-prefix-adder-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-find-replace-text-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-find-replace-text-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-find-replace-text-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-emoji-text-decoration-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-emoji-text-decoration-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-emoji-text-decoration-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-text-decoration-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-text-decoration-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-text-decoration-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-arabic-text-decoration-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-arabic-text-decoration-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-arabic-text-decoration-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-english-name-decoration-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-english-name-decoration-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-english-name-decoration-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-username-decoration-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-username-decoration-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-username-decoration-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-slug-generator-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-slug-generator-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-slug-generator-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-prefix-suffix-adder-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-prefix-suffix-adder-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-prefix-suffix-adder-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-text-repeater-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-text-repeater-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-text-repeater-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-duplicate-line-remover-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-duplicate-line-remover-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-duplicate-line-remover-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-text-counter-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-text-counter-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-text-counter-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-remove-line-breaks-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-remove-line-breaks-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-remove-line-breaks-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-hashtag-generator-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-hashtag-generator-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-hashtag-generator-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-punctuation-remover-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-punctuation-remover-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-punctuation-remover-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-whitespace-cleaner-standard","1","validate","التحقق من النص","validation","user_input","validated_text","true"
"workflow-whitespace-cleaner-standard","2","transform","تنفيذ التحويل","text_transform","validated_text","transformed_text","true"
"workflow-whitespace-cleaner-standard","3","preview","تجهيز النتيجة للنسخ","transform","transformed_text","final_output","true"
"workflow-whatsapp-message-writer-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-whatsapp-message-writer-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-whatsapp-message-writer-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-whatsapp-message-writer-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-whatsapp-message-writer-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-whatsapp-message-writer-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-whatsapp-message-writer-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-whatsapp-message-writer-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-whatsapp-message-writer-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-whatsapp-message-writer-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-video-script-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-video-script-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-video-script-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-video-script-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-video-script-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-video-script-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-video-script-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-video-script-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-video-script-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-video-script-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-social-post-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-social-post-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-social-post-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-social-post-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-social-post-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-social-post-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-social-post-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-social-post-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-social-post-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-social-post-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-product-description-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-product-description-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-product-description-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-product-description-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-product-description-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-product-description-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-product-description-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-product-description-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-product-description-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-product-description-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-text-summarizer-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-text-summarizer-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-text-summarizer-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-text-summarizer-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-text-summarizer-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-text-summarizer-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-text-summarizer-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-text-summarizer-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-text-summarizer-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-text-summarizer-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-content-rewriter-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-content-rewriter-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-content-rewriter-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-content-rewriter-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-content-rewriter-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-content-rewriter-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-content-rewriter-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-content-rewriter-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-content-rewriter-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-content-rewriter-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-content-writing-assistant-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-content-writing-assistant-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-content-writing-assistant-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-content-writing-assistant-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-content-writing-assistant-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-content-writing-assistant-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-content-writing-assistant-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-content-writing-assistant-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-content-writing-assistant-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-content-writing-assistant-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-ad-copy-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-ad-copy-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-ad-copy-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-ad-copy-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-ad-copy-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-ad-copy-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-ad-copy-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-ad-copy-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-ad-copy-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-ad-copy-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-proposal-writer-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-proposal-writer-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-proposal-writer-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-proposal-writer-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-proposal-writer-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-proposal-writer-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-proposal-writer-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-proposal-writer-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-proposal-writer-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-proposal-writer-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-meeting-summary-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-meeting-summary-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-meeting-summary-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-meeting-summary-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-meeting-summary-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-meeting-summary-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-meeting-summary-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-meeting-summary-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-meeting-summary-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-meeting-summary-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-keyword-cluster-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-keyword-cluster-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-keyword-cluster-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-keyword-cluster-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-keyword-cluster-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-keyword-cluster-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-keyword-cluster-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-keyword-cluster-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-keyword-cluster-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-keyword-cluster-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-blog-outline-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-blog-outline-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-blog-outline-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-blog-outline-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-blog-outline-generator-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-blog-outline-generator-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-blog-outline-generator-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-blog-outline-generator-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-blog-outline-generator-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-blog-outline-generator-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-seo-title-description-generator-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-seo-title-description-generator-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-seo-title-description-generator-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-seo-title-description-generator-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
