"slug","name_ar","name_en","description","category_slug","engine_group","is_active","version"
"workflow-prefix-suffix-adder-standard","إضافة بادئة ولاحقة — مسار معالجة النص","Prefix & Suffix Adder — standard","مسار مسار معالجة النص لأداة إضافة بادئة ولاحقة.","text-tools","text","true","1"
"workflow-text-repeater-standard","مكرر النصوص — مسار معالجة النص","Text Repeater — standard","مسار مسار معالجة النص لأداة مكرر النصوص.","text-tools","text","true","1"
"workflow-duplicate-line-remover-standard","حذف الأسطر المكررة — مسار معالجة النص","Duplicate Line Remover — standard","مسار مسار معالجة النص لأداة حذف الأسطر المكررة.","text-tools","text","true","1"
"workflow-text-counter-standard","عداد الكلمات والأحرف — مسار معالجة النص","Word & Character Counter — standard","مسار مسار معالجة النص لأداة عداد الكلمات والأحرف.","text-tools","text","true","1"
"workflow-remove-line-breaks-standard","إزالة فواصل الأسطر — مسار معالجة النص","Remove Line Breaks — standard","مسار مسار معالجة النص لأداة إزالة فواصل الأسطر.","text-tools","text","true","1"
"workflow-hashtag-generator-standard","مولد الهاشتاقات — مسار معالجة النص","Hashtag Generator — standard","مسار مسار معالجة النص لأداة مولد الهاشتاقات.","text-tools","text","true","1"
"workflow-punctuation-remover-standard","حذف علامات الترقيم والرموز — مسار معالجة النص","Punctuation Remover — standard","مسار مسار معالجة النص لأداة حذف علامات الترقيم والرموز.","text-tools","text","true","1"
"workflow-whitespace-cleaner-standard","تنظيف المسافات الزائدة — مسار معالجة النص","Whitespace Cleaner — standard","مسار مسار معالجة النص لأداة تنظيف المسافات الزائدة.","text-tools","text","true","1"
"workflow-whatsapp-message-writer-quick","كاتب رسائل واتساب — المسار السريع","WhatsApp Message Writer — quick","مسار المسار السريع لأداة كاتب رسائل واتساب.","ai-writing-tools","ai","true","1"
"workflow-whatsapp-message-writer-professional","كاتب رسائل واتساب — المسار الاحترافي","WhatsApp Message Writer — professional","مسار المسار الاحترافي لأداة كاتب رسائل واتساب.","ai-writing-tools","ai","true","1"
"workflow-video-script-generator-quick","مولد سكريبت الفيديو — المسار السريع","Video Script Generator — quick","مسار المسار السريع لأداة مولد سكريبت الفيديو.","ai-writing-tools","ai","true","1"
"workflow-video-script-generator-professional","مولد سكريبت الفيديو — المسار الاحترافي","Video Script Generator — professional","مسار المسار الاحترافي لأداة مولد سكريبت الفيديو.","ai-writing-tools","ai","true","1"
"workflow-social-post-generator-quick","مولد منشورات السوشيال ميديا — المسار السريع","Social Post Generator — quick","مسار المسار السريع لأداة مولد منشورات السوشيال ميديا.","social-media-tools","ai","true","1"
"workflow-social-post-generator-professional","مولد منشورات السوشيال ميديا — المسار الاحترافي","Social Post Generator — professional","مسار المسار الاحترافي لأداة مولد منشورات السوشيال ميديا.","social-media-tools","ai","true","1"
"workflow-product-description-generator-quick","مولد وصف المنتجات — المسار السريع","Product Description Generator — quick","مسار المسار السريع لأداة مولد وصف المنتجات.","ai-writing-tools","ai","true","1"
"workflow-product-description-generator-professional","مولد وصف المنتجات — المسار الاحترافي","Product Description Generator — professional","مسار المسار الاحترافي لأداة مولد وصف المنتجات.","ai-writing-tools","ai","true","1"
"workflow-text-summarizer-quick","ملخص النصوص — المسار السريع","Text Summarizer — quick","مسار المسار السريع لأداة ملخص النصوص.","ai-writing-tools","ai","true","1"
"workflow-text-summarizer-professional","ملخص النصوص — المسار الاحترافي","Text Summarizer — professional","مسار المسار الاحترافي لأداة ملخص النصوص.","ai-writing-tools","ai","true","1"
"workflow-content-rewriter-quick","إعادة صياغة المحتوى — المسار السريع","Content Rewriter — quick","مسار المسار السريع لأداة إعادة صياغة المحتوى.","ai-writing-tools","ai","true","1"
"workflow-content-rewriter-professional","إعادة صياغة المحتوى — المسار الاحترافي","Content Rewriter — professional","مسار المسار الاحترافي لأداة إعادة صياغة المحتوى.","ai-writing-tools","ai","true","1"
"workflow-content-writing-assistant-quick","مساعد كتابة المحتوى — المسار السريع","Content Writing Assistant — quick","مسار المسار السريع لأداة مساعد كتابة المحتوى.","ai-writing-tools","ai","true","1"
"workflow-content-writing-assistant-professional","مساعد كتابة المحتوى — المسار الاحترافي","Content Writing Assistant — professional","مسار المسار الاحترافي لأداة مساعد كتابة المحتوى.","ai-writing-tools","ai","true","1"
"workflow-ad-copy-generator-quick","مولد النصوص الإعلانية — المسار السريع","Ad Copy Generator — quick","مسار المسار السريع لأداة مولد النصوص الإعلانية.","ai-writing-tools","ai","true","1"
"workflow-ad-copy-generator-professional","مولد النصوص الإعلانية — المسار الاحترافي","Ad Copy Generator — professional","مسار المسار الاحترافي لأداة مولد النصوص الإعلانية.","ai-writing-tools","ai","true","1"
"workflow-proposal-writer-quick","كاتب عروض الخدمات — المسار السريع","Service Proposal Writer — quick","مسار المسار السريع لأداة كاتب عروض الخدمات.","productivity-tools","ai","true","1"
"workflow-proposal-writer-professional","كاتب عروض الخدمات — المسار الاحترافي","Service Proposal Writer — professional","مسار المسار الاحترافي لأداة كاتب عروض الخدمات.","productivity-tools","ai","true","1"
"workflow-meeting-summary-generator-quick","ملخص الاجتماعات — المسار السريع","Meeting Summary Generator — quick","مسار المسار السريع لأداة ملخص الاجتماعات.","productivity-tools","ai","true","1"
"workflow-meeting-summary-generator-professional","ملخص الاجتماعات — المسار الاحترافي","Meeting Summary Generator — professional","مسار المسار الاحترافي لأداة ملخص الاجتماعات.","productivity-tools","ai","true","1"
"workflow-keyword-cluster-generator-quick","مولد عناقيد الكلمات المفتاحية — المسار السريع","Keyword Cluster Generator — quick","مسار المسار السريع لأداة مولد عناقيد الكلمات المفتاحية.","seo-tools","ai","true","1"
"workflow-keyword-cluster-generator-professional","مولد عناقيد الكلمات المفتاحية — المسار الاحترافي","Keyword Cluster Generator — professional","مسار المسار الاحترافي لأداة مولد عناقيد الكلمات المفتاحية.","seo-tools","ai","true","1"
"workflow-blog-outline-generator-quick","مولد مخطط المقال — المسار السريع","Blog Outline Generator — quick","مسار المسار السريع لأداة مولد مخطط المقال.","seo-tools","ai","true","1"
"workflow-blog-outline-generator-professional","مولد مخطط المقال — المسار الاحترافي","Blog Outline Generator — professional","مسار المسار الاحترافي لأداة مولد مخطط المقال.","seo-tools","ai","true","1"
"workflow-seo-title-description-generator-quick","مولد عنوان ووصف SEO — المسار السريع","SEO Title & Meta Description Generator — quick","مسار المسار السريع لأداة مولد عنوان ووصف SEO.","seo-tools","ai","true","1"
"workflow-seo-title-description-generator-professional","مولد عنوان ووصف SEO — المسار الاحترافي","SEO Title & Meta Description Generator — professional","مسار المسار الاحترافي لأداة مولد عنوان ووصف SEO.","seo-tools","ai","true","1"
"workflow-youtube-description-generator-quick","مولد وصف YouTube — المسار السريع","YouTube Description Generator — quick","مسار المسار السريع لأداة مولد وصف YouTube.","social-media-tools","ai","true","1"
"workflow-youtube-description-generator-professional","مولد وصف YouTube — المسار الاحترافي","YouTube Description Generator — professional","مسار المسار الاحترافي لأداة مولد وصف YouTube.","social-media-tools","ai","true","1"
"workflow-call-to-action-generator-quick","مولد عبارات CTA — المسار السريع","Call-to-Action Generator — quick","مسار المسار السريع لأداة مولد عبارات CTA.","seo-tools","ai","true","1"
"workflow-call-to-action-generator-professional","مولد عبارات CTA — المسار الاحترافي","Call-to-Action Generator — professional","مسار المسار الاحترافي لأداة مولد عبارات CTA.","seo-tools","ai","true","1"
"workflow-youtube-title-generator-quick","مولد عناوين YouTube — المسار السريع","YouTube Title Generator — quick","مسار المسار السريع لأداة مولد عناوين YouTube.","social-media-tools","ai","true","1"
"workflow-youtube-title-generator-professional","مولد عناوين YouTube — المسار الاحترافي","YouTube Title Generator — professional","مسار المسار الاحترافي لأداة مولد عناوين YouTube.","social-media-tools","ai","true","1"
"workflow-customer-service-reply-generator-quick","مولد ردود خدمة العملاء — المسار السريع","Customer Service Reply Generator — quick","مسار المسار السريع لأداة مولد ردود خدمة العملاء.","productivity-tools","ai","true","1"
"workflow-customer-service-reply-generator-professional","مولد ردود خدمة العملاء — المسار الاحترافي","Customer Service Reply Generator — professional","مسار المسار الاحترافي لأداة مولد ردود خدمة العملاء.","productivity-tools","ai","true","1"
"workflow-x-post-generator-quick","مولد منشورات X — المسار السريع","X Post Generator — quick","مسار المسار السريع لأداة مولد منشورات X.","social-media-tools","ai","true","1"
"workflow-x-post-generator-professional","مولد منشورات X — المسار الاحترافي","X Post Generator — professional","مسار المسار الاحترافي لأداة مولد منشورات X.","social-media-tools","ai","true","1"
"workflow-linkedin-post-generator-quick","مولد منشورات LinkedIn — المسار السريع","LinkedIn Post Generator — quick","مسار المسار السريع لأداة مولد منشورات LinkedIn.","social-media-tools","ai","true","1"
"workflow-linkedin-post-generator-professional","مولد منشورات LinkedIn — المسار الاحترافي","LinkedIn Post Generator — professional","مسار المسار الاحترافي لأداة مولد منشورات LinkedIn.","social-media-tools","ai","true","1"
"workflow-tiktok-caption-generator-quick","مولد كابشن TikTok — المسار السريع","TikTok Caption Generator — quick","مسار المسار السريع لأداة مولد كابشن TikTok.","social-media-tools","ai","true","1"
"workflow-tiktok-caption-generator-professional","مولد كابشن TikTok — المسار الاحترافي","TikTok Caption Generator — professional","مسار المسار الاحترافي لأداة مولد كابشن TikTok.","social-media-tools","ai","true","1"
"workflow-landing-page-copy-generator-quick","كاتب صفحات الهبوط — المسار السريع","Landing Page Copy Generator — quick","مسار المسار السريع لأداة كاتب صفحات الهبوط.","ai-writing-tools","ai","true","1"
"workflow-landing-page-copy-generator-professional","كاتب صفحات الهبوط — المسار الاحترافي","Landing Page Copy Generator — professional","مسار المسار الاحترافي لأداة كاتب صفحات الهبوط.","ai-writing-tools","ai","true","1"
"workflow-content-ideas-generator-quick","مولد أفكار المحتوى — المسار السريع","Content Ideas Generator — quick","مسار المسار السريع لأداة مولد أفكار المحتوى.","ai-writing-tools","ai","true","1"
"workflow-content-ideas-generator-professional","مولد أفكار المحتوى — المسار الاحترافي","Content Ideas Generator — professional","مسار المسار الاحترافي لأداة مولد أفكار المحتوى.","ai-writing-tools","ai","true","1"
"workflow-faq-generator-quick","مولد الأسئلة الشائعة — المسار السريع","FAQ Generator — quick","مسار المسار السريع لأداة مولد الأسئلة الشائعة.","ai-writing-tools","ai","true","1"
"workflow-faq-generator-professional","مولد الأسئلة الشائعة — المسار الاحترافي","FAQ Generator — professional","مسار المسار الاحترافي لأداة مولد الأسئلة الشائعة.","ai-writing-tools","ai","true","1"
"workflow-instagram-caption-generator-quick","مولد كابشن Instagram — المسار السريع","Instagram Caption Generator — quick","مسار المسار السريع لأداة مولد كابشن Instagram.","social-media-tools","ai","true","1"
"workflow-instagram-caption-generator-professional","مولد كابشن Instagram — المسار الاحترافي","Instagram Caption Generator — professional","مسار المسار الاحترافي لأداة مولد كابشن Instagram.","social-media-tools","ai","true","1"
"workflow-email-writer-quick","كاتب البريد الإلكتروني — المسار السريع","Email Writer — quick","مسار المسار السريع لأداة كاتب البريد الإلكتروني.","ai-writing-tools","ai","true","1"
"workflow-email-writer-professional","كاتب البريد الإلكتروني — المسار الاحترافي","Email Writer — professional","مسار المسار الاحترافي لأداة كاتب البريد الإلكتروني.","ai-writing-tools","ai","true","1"
"workflow-slogan-generator-quick","مولد الشعارات النصية — المسار السريع","Slogan Generator — quick","مسار المسار السريع لأداة مولد الشعارات النصية.","ai-writing-tools","ai","true","1"
"workflow-slogan-generator-professional","مولد الشعارات النصية — المسار الاحترافي","Slogan Generator — professional","مسار المسار الاحترافي لأداة مولد الشعارات النصية.","ai-writing-tools","ai","true","1"
"workflow-business-name-generator-quick","مولد أسماء المشاريع — المسار السريع","Business Name Generator — quick","مسار المسار السريع لأداة مولد أسماء المشاريع.","ai-writing-tools","ai","true","1"
"workflow-business-name-generator-professional","مولد أسماء المشاريع — المسار الاحترافي","Business Name Generator — professional","مسار المسار الاحترافي لأداة مولد أسماء المشاريع.","ai-writing-tools","ai","true","1"
"workflow-headline-generator-quick","مولد العناوين — المسار السريع","Headline Generator — quick","مسار المسار السريع لأداة مولد العناوين.","ai-writing-tools","ai","true","1"
"workflow-headline-generator-professional","مولد العناوين — المسار الاحترافي","Headline Generator — professional","مسار المسار الاحترافي لأداة مولد العناوين.","ai-writing-tools","ai","true","1"
"workflow-proofreading-assistant-quick","مدقق لغوي ذكي — المسار السريع","AI Proofreading Assistant — quick","مسار المسار السريع لأداة مدقق لغوي ذكي.","ai-writing-tools","ai","true","1"
"workflow-proofreading-assistant-professional","مدقق لغوي ذكي — المسار الاحترافي","AI Proofreading Assistant — professional","مسار المسار الاحترافي لأداة مدقق لغوي ذكي.","ai-writing-tools","ai","true","1"
"workflow-square-root-calculator-standard","حاسبة الجذر التربيعي — مسار الحساب","Square Root Calculator — standard","مسار مسار الحساب لأداة حاسبة الجذر التربيعي.","general-tools","formula","true","1"
"workflow-ratio-calculator-standard","حاسبة النسبة بين قيمتين — مسار الحساب","Ratio Calculator — standard","مسار مسار الحساب لأداة حاسبة النسبة بين قيمتين.","general-tools","formula","true","1"
"workflow-sample-size-calculator-standard","حاسبة حجم العينة — مسار الحساب","Sample Size Calculator — standard","مسار مسار الحساب لأداة حاسبة حجم العينة.","general-tools","formula","true","1"
"workflow-gpa-4-to-5-converter-standard","محول المعدل من 4 إلى 5 — مسار الحساب","GPA 4 to 5 Converter — standard","مسار مسار الحساب لأداة محول المعدل من 4 إلى 5.","education-tools","formula","true","1"
"workflow-cbm-calculator-standard","حاسبة الحجم CBM — مسار الحساب","CBM Calculator — standard","مسار مسار الحساب لأداة حاسبة الحجم CBM.","converter-tools","formula","true","1"
"workflow-centimeter-to-meter-converter-standard","محول السنتيمتر إلى متر — مسار الحساب","Centimeter to Meter Converter — standard","مسار مسار الحساب لأداة محول السنتيمتر إلى متر.","converter-tools","formula","true","1"
"workflow-meter-to-kilometer-converter-standard","محول المتر إلى كيلومتر — مسار الحساب","Meter to Kilometer Converter — standard","مسار مسار الحساب لأداة محول المتر إلى كيلومتر.","converter-tools","formula","true","1"
"workflow-kilogram-to-pound-converter-standard","محول الكيلوجرام إلى رطل — مسار الحساب","Kilogram to Pound Converter — standard","مسار مسار الحساب لأداة محول الكيلوجرام إلى رطل.","converter-tools","formula","true","1"
"workflow-price-with-vat-calculator-standard","حاسبة السعر شامل الضريبة — مسار الحساب","Price Including VAT Calculator — standard","مسار مسار الحساب لأداة حاسبة السعر شامل الضريبة.","finance-tools","formula","true","1"
"workflow-pound-to-kilogram-converter-standard","محول الرطل إلى كيلوجرام — مسار الحساب","Pound to Kilogram Converter — standard","مسار مسار الحساب لأداة محول الرطل إلى كيلوجرام.","converter-tools","formula","true","1"
"workflow-celsius-to-fahrenheit-converter-standard","محول مئوي إلى فهرنهايت — مسار الحساب","Celsius to Fahrenheit Converter — standard","مسار مسار الحساب لأداة محول مئوي إلى فهرنهايت.","converter-tools","formula","true","1"
"workflow-percentage-of-amount-calculator-standard","حاسبة نسبة من مبلغ — مسار الحساب","Percentage of Amount Calculator — standard","مسار مسار الحساب لأداة حاسبة نسبة من مبلغ.","finance-tools","formula","true","1"
"workflow-gpa-4-to-percentage-calculator-standard","محول المعدل من 4 إلى نسبة — مسار الحساب","GPA 4 to Percentage Calculator — standard","مسار مسار الحساب لأداة محول المعدل من 4 إلى نسبة.","education-tools","formula","true","1"
"workflow-percentage-change-calculator-standard","حاسبة نسبة التغير — مسار الحساب","Percentage Change Calculator — standard","مسار مسار الحساب لأداة حاسبة نسبة التغير.","finance-tools","formula","true","1"
"workflow-gpa-5-to-percentage-calculator-standard","محول المعدل من 5 إلى نسبة — مسار الحساب","GPA 5 to Percentage Calculator — standard","مسار مسار الحساب لأداة محول المعدل من 5 إلى نسبة.","education-tools","formula","true","1"
"workflow-reverse-percentage-calculator-standard","حاسبة النسبة العكسية — مسار الحساب","Reverse Percentage Calculator — standard","مسار مسار الحساب لأداة حاسبة النسبة العكسية.","finance-tools","formula","true","1"
"workflow-fahrenheit-to-celsius-converter-standard","محول فهرنهايت إلى مئوي — مسار الحساب","Fahrenheit to Celsius Converter — standard","مسار مسار الحساب لأداة محول فهرنهايت إلى مئوي.","converter-tools","formula","true","1"
"workflow-rectangle-area-calculator-standard","حاسبة مساحة المستطيل — مسار الحساب","Rectangle Area Calculator — standard","مسار مسار الحساب لأداة حاسبة مساحة المستطيل.","converter-tools","formula","true","1"
"workflow-land-share-area-calculator-standard","حاسبة مساحة حصة الأرض — مسار الحساب","Land Share Area Calculator — standard","مسار مسار الحساب لأداة حاسبة مساحة حصة الأرض.","converter-tools","formula","true","1"
"workflow-box-volume-liter-calculator-standard","حاسبة حجم الصندوق باللتر — مسار الحساب","Box Volume in Liters Calculator — standard","مسار مسار الحساب لأداة حاسبة حجم الصندوق باللتر.","converter-tools","formula","true","1"
"workflow-bmi-calculator-standard","حاسبة مؤشر كتلة الجسم — مسار الحساب","BMI Calculator — standard","مسار مسار الحساب لأداة حاسبة مؤشر كتلة الجسم.","health-tools","formula","true","1"
"workflow-daily-water-intake-calculator-standard","حاسبة شرب الماء اليومي — مسار الحساب","Daily Water Intake Calculator — standard","مسار مسار الحساب لأداة حاسبة شرب الماء اليومي.","health-tools","formula","true","1"
"workflow-bmr-male-calculator-standard","حاسبة معدل الأيض الأساسي للرجال — مسار الحساب","Male BMR Calculator — standard","مسار مسار الحساب لأداة حاسبة معدل الأيض الأساسي للرجال.","health-tools","formula","true","1"
"workflow-installment-calculator-standard","حاسبة الأقساط — مسار الحساب","Installment Calculator — standard","مسار مسار الحساب لأداة حاسبة الأقساط.","finance-tools","formula","true","1"
"workflow-loan-payment-calculator-standard","حاسبة دفعة القرض — مسار الحساب","Loan Payment Calculator — standard","مسار مسار الحساب لأداة حاسبة دفعة القرض.","finance-tools","formula","true","1"
"workflow-savings-goal-calculator-standard","حاسبة هدف الادخار — مسار الحساب","Savings Goal Calculator — standard","مسار مسار الحساب لأداة حاسبة هدف الادخار.","finance-tools","formula","true","1"
"workflow-bmr-female-calculator-standard","حاسبة معدل الأيض الأساسي للنساء — مسار الحساب","Female BMR Calculator — standard","مسار مسار الحساب لأداة حاسبة معدل الأيض الأساسي للنساء.","health-tools","formula","true","1"
"workflow-hourly-wage-calculator-standard","حاسبة الأجر بالساعة — مسار الحساب","Hourly Wage Calculator — standard","مسار مسار الحساب لأداة حاسبة الأجر بالساعة.","employment-tools","formula","true","1"
"workflow-zakat-calculator-standard","حاسبة الزكاة — مسار الحساب","Zakat Calculator — standard","مسار مسار الحساب لأداة حاسبة الزكاة.","finance-tools","formula","true","1"
"workflow-gold-zakat-calculator-standard","حاسبة زكاة الذهب — مسار الحساب","Gold Zakat Calculator — standard","مسار مسار الحساب لأداة حاسبة زكاة الذهب.","finance-tools","formula","true","1"
"workflow-net-after-tax-calculator-standard","حاسبة الصافي بعد الضريبة — مسار الحساب","Net After Tax Calculator — standard","مسار مسار الحساب لأداة حاسبة الصافي بعد الضريبة.","finance-tools","formula","true","1"
"workflow-daily-wage-calculator-standard","حاسبة الأجر اليومي — مسار الحساب","Daily Wage Calculator — standard","مسار مسار الحساب لأداة حاسبة الأجر اليومي.","employment-tools","formula","true","1"
"workflow-overtime-pay-calculator-standard","حاسبة أجر العمل الإضافي — مسار الحساب","Overtime Pay Calculator — standard","مسار مسار الحساب لأداة حاسبة أجر العمل الإضافي.","employment-tools","formula","true","1"
"workflow-retirement-years-remaining-calculator-standard","حاسبة السنوات المتبقية للتقاعد — مسار الحساب","Retirement Years Remaining Calculator — standard","مسار مسار الحساب لأداة حاسبة السنوات المتبقية للتقاعد.","employment-tools","formula","true","1"
